# Normalized pattern<TAB>plain-language reason
bear	A common English animal name and generic creature type.
cat	A common English animal name and generic creature type.
first strike	A generic game-mechanics phrase made only of common English words.
vigilance	A common English noun and generic game-mechanics term.
angel demon	A pair of generic creature subtypes used as structured DSL values.
angel warrior	A pair of generic creature subtypes used as structured DSL values.
assembly worker	A generic artifact creature subtype used as a structured DSL value.
battle cry	A generic game-mechanics keyword retained as executable DSL vocabulary.
dragon illusion	A pair of generic creature subtypes used as structured DSL values.
eldrazi scion	A pair of creature subtypes used as structured DSL values.
eldrazi spawn	A pair of creature subtypes used as structured DSL values.
elf warrior	A pair of generic creature subtypes used as structured DSL values.
faerie rogue	A pair of generic creature subtypes used as structured DSL values.
giant warrior	A pair of generic creature subtypes used as structured DSL values.
goblin rogue	A pair of generic creature subtypes used as structured DSL values.
goblin shaman	A pair of generic creature subtypes used as structured DSL values.
goblin soldier	A pair of generic creature subtypes used as structured DSL values.
human citizen	A pair of generic creature subtypes used as structured DSL values.
human cleric	A pair of generic creature subtypes used as structured DSL values.
human soldier	A pair of generic creature subtypes used as structured DSL values.
human warrior	A pair of generic creature subtypes used as structured DSL values.
kithkin soldier	A pair of creature subtypes used as structured DSL values.
merfolk wizard	A pair of generic creature subtypes used as structured DSL values.
phyrexian horror	A pair of creature subtypes used as structured DSL values.
robot villain	A pair of generic creature subtypes used as structured DSL values.
sand warrior	A pair of generic creature subtypes used as structured DSL values.
soldier ally	A pair of generic creature subtypes used as structured DSL values.
spirit warrior	A pair of generic creature subtypes used as structured DSL values.
the command zone	A generic rules-zone phrase required by executable gameplay logic.
the monarch	A generic game-state designation required by executable gameplay logic.
treefolk shaman	A pair of generic creature subtypes used as structured DSL values.
treefolk warrior	A pair of generic creature subtypes used as structured DSL values.
urza s	A canonical land subtype represented as structured DSL vocabulary.
zombie knight	A pair of generic creature subtypes used as structured DSL values.
