#anonymous_set_id	scryfall_set_id
1993A	288bd996-960e-448b-a187-9504c1930c2c
1993B	5307bd88-637c-4a5c-9801-a0d887715302
1993C	840aaaed-a90e-4db0-8dce-f15e92df6d64
1993D	856f63eb-e056-43e5-8a56-7a58e1608940
1994A	819f9678-87dd-4aba-a47b-2d553bfea21f
1994B	78c50b4b-b220-455b-a2d5-cee458fa56f3
1994C	c77cb8ee-8c7c-4177-af59-53d591150bef
1994D	a21c6836-c435-459a-81e3-22d2da174549
1994E	cf7390b1-341a-4ae8-a325-da0f5f322f13
1994F	b32cc4a1-1e06-4bec-bab6-89b2691b57a4
1995A	b0e08eea-5c01-4406-a6e2-dcd09c5e5b67
1995B	80b77354-aa37-420c-a9a2-8a0c66989f23
1995C	3442b58d-6354-4c71-8608-6abe469ab54b
1995D	5ac1f606-e682-46e9-ad0f-122a3783581b
1996A	64987b06-4a5c-443d-b560-ff5691744582
1996B	5f06acf3-8123-4a78-b2e7-089b0b775a4a
1996C	fe04d7bf-1965-45e8-8de1-4bfc5b636d5f
1997A	2c32f1a9-7921-4826-bea0-80bbac70532c
1997B	9ca75b06-d9c5-4245-9bba-f2751f8d50a5
1997C	478c47df-5058-4ce6-830e-7e80732b2ca9
1997D	3c098543-7919-46d5-b14d-aa0444fd6573
1997E	38210efe-e2d7-47ff-9817-4b5631e4bb8a
1997F	700997ac-add2-4ce2-992e-5efa0fdfc0e9
1997G	1645fb19-71a7-4634-99b8-bf703e861b6b
1997H	10df3a67-178e-4363-8668-34f0e6edf2a7
1998A	804c01dd-4714-440a-950e-2f2130d781f3
1998B	726bc009-a94a-4fd2-acb2-58d8c70b8f1c
1998C	5c83396a-d386-4367-926b-571a75b086a3
1998D	a4bfc8e0-22bb-463b-8f7d-5dc926438dca
1998E	1401f7af-2e71-476d-9813-991084ed0bb9
1998F	ac67f18a-4f0e-407e-bab1-a9fe4f659565
1998G	3404fc78-6678-4cf4-bd39-4c0be3bb7baf
1998H	fa0c6488-475f-4e88-8149-e131619bd215
1998I	c330df40-51db-4caf-bde6-48df6c181001
1999A	533dd7ca-2128-4d21-911a-a12f9b7b369e
1999B	78ced61b-4b8a-4b33-b6b2-f5bd66f1a75a
1999C	27b4f670-a760-4783-9f5a-4986c3a50e86
1999D	2676ff2e-9d86-4b5b-b935-e84e41b0755e
1999E	1cec5029-d9b9-4cbb-8a50-9c3a0f95d677
1999F	44f17b37-dcf8-4239-baab-1efc00cd3480
1999G	7e345c51-7a88-4c7a-8184-4e1ba493b40d
1999H	98161b77-01f1-492d-80f2-7fb44f3dd260
1999I	385e11a4-492b-4d07-b4a6-a1409ef829b8
2000A	b302372a-fff8-43bf-95cf-e3d1d2bca9c9
2000B	fa5d1fdb-f781-473d-b14d-50396d40d43f
2000C	34e39301-d557-47d1-bcc1-1ab44c02bc04
2000D	c233bd36-57c0-4aa2-ae6c-7aeabfb4e3ce
2000E	907dbba9-bb5e-4d07-b681-ab8641cb1ada
2000F	b9ae5e02-7726-47ca-b5e4-5ec402b41cd1
2001A	7110534f-7944-45f8-9b93-19240253201b
2001B	82dc193b-bd5f-4883-a93f-a4155b467ee0
2001C	3267d03d-12cd-41ae-9d4d-80af0493f138
2001D	e4e00913-d08d-4899-86ea-5cf631e09ce0
2001E	e8099914-89d5-4b89-8930-9b68d0c31916
2001F	52dc2f6b-0895-483d-8a15-3c6052612a79
2001G	b0d90d2d-494a-4224-bfa0-36ce5ee281b1
2002A	f64d8b9e-bff0-4247-8113-7fd799c997c2
2002B	e0b3fda1-a6ca-4996-849b-08b463d39484
2002C	a1aed70a-561a-4766-97ce-ad56bef407c0
2002D	cd82de1a-36fd-4618-bfe8-b45532a582d9
2002E	b8385212-69cb-4b73-a013-d6d4e9efa261
2002F	914a6c6d-cb3b-45e8-a2db-9978a2339faf
2003A	338dca3f-bcaf-43f8-a5a8-0aeaa241dec5
2003B	bf8bc347-ae11-43d4-98da-3625566668dd
2003C	f8778e61-ae6b-43ee-a611-f042439fa737
2003D	33d36849-7710-4766-90c6-728c3f625003
2003E	c2d60a18-1a81-4784-8e0c-e1de2f43c5cf
2003F	48e783b7-4219-4348-aacb-86ea5c491af2
2003G	5133c3a1-1412-4ce6-a1f0-73b695966ded
